,Código Nacional,Estado,Precio venta al público con IVA,Precio de referencia,Tratamiento de larga duración,Especial control médico
0,725150,BAJA GENERAL,4.65,4.65,SI,NO
1,667964,BAJA GENERAL,9.3,9.3,SI,NO
2,731919,BAJA GENERAL,2.5,2.5,SI,NO
3,702951,ALTA,2.29,2.29,SI,NO
4,650789,ALTA,2.5,2.5,SI,NO
5,658980,ALTA,1.25,1.25,SI,NO
6,705001,ALTA,2.5,2.5,SI,NO
7,705013,ALTA,1.25,1.25,SI,NO
8,659674,ALTA,2.5,2.5,SI,NO
9,659675,ALTA,1.25,1.25,SI,NO
10,711068,ALTA,13.27,13.27,NO,NO
11,711067,ALTA,13.27,13.27,NO,NO
12,711662,ALTA,13.27,13.27,NO,NO
13,711661,ALTA,13.27,13.27,NO,NO
14,713717,ALTA,13.27,13.27,NO,NO
15,713718,ALTA,13.27,13.27,NO,NO
16,847863,ALTA,7.09,7.09,NO,NO
17,848416,ALTA,14.17,14.17,NO,NO
18,650248,ALTA,2.5,2.5,SI,NO
19,650195,ALTA,2.5,2.5,SI,NO
20,664928,ALTA,3.81,3.81,SI,NO
21,678596,ALTA,15.52,,NO,NO
22,654847,ALTA,22.62,,NO,NO
23,654846,ALTA,22.62,,NO,NO
24,678601,ALTA,21.76,,NO,NO
25,679055,ALTA,21.76,,NO,NO
26,661535,ALTA,10.72,10.72,NO,NO
27,672044,ALTA,21.43,21.43,NO,NO
28,661534,ALTA,21.43,21.43,NO,NO
29,656529,ALTA,11.79,,NO,NO
30,656527,ALTA,18.89,,NO,NO
31,673543,ALTA,2.36,2.36,SI,NO
32,672780,BAJA GENERAL,7.31,7.31,NO,NO
33,696616,ALTA,10.46,10.46,NO,NO
34,696618,ALTA,20.92,20.92,NO,NO
35,696619,ALTA,20.92,20.92,NO,NO
36,696620,ALTA,5.23,5.23,NO,NO
37,709686,ALTA,10.49,10.49,NO,NO
38,709687,ALTA,20.97,20.97,NO,NO
39,709685,ALTA,5.25,5.25,NO,NO
40,696071,ALTA,10.49,10.49,NO,NO
41,696072,ALTA,20.97,20.97,NO,NO
42,696074,ALTA,5.25,5.25,NO,NO
43,823203,ALTA,7.38,7.38,NO,NO
44,801324,ALTA,7.27,7.27,SI,NO
45,801480,ALTA,14.55,14.55,SI,NO
46,661221,ALTA,23.96,23.96,NO,NO
47,780643,ALTA,11.99,11.99,NO,NO
48,661200,ALTA,23.96,23.96,NO,NO
49,650999,ALTA,11.99,11.99,NO,NO
